,tokenized_document1,tokenized_document2,tokenized_document3,tokenized_document4,tokenized_document5,tokenized_document6
competitions,0,0,0,0,1,0
life,0,1,1,1,1,1
goal,0,1,0,0,0,0
modern,0,1,0,0,0,0
forces,0,1,0,0,0,0
void,0,1,0,0,0,0
resonate,0,0,0,1,0,0
becoming,0,0,0,0,1,0
only,0,0,0,1,0,0
homework,0,0,0,0,0,1
people,0,0,1,0,0,0
practice,0,0,0,0,1,0
participate,0,0,0,0,1,0
of,0,1,1,1,1,0
Mahatma,0,1,1,0,0,0
never,0,1,0,0,0,0
up,0,0,0,0,0,1
today,0,0,1,0,0,0
we,0,0,0,1,1,0
ideals,0,0,0,1,0,0
and,0,1,1,1,1,1
highly,0,1,0,0,0,0
leader,0,1,0,1,0,0
where,0,1,0,0,0,0
During,0,1,0,0,0,0
addition,0,0,0,0,0,1
significant,0,1,0,1,0,0
was,0,1,1,1,0,0
values,0,0,1,0,0,0
principles,0,0,1,0,0,0
strong,0,0,0,1,0,0
dream,0,0,0,0,1,0
Gokhale,0,1,0,0,0,0
helped,0,1,0,0,0,0
want,0,0,0,0,1,0
greatly,0,1,0,0,0,0
international,0,0,1,0,0,0
The,0,0,0,0,0,1
peace,0,1,0,0,0,0
fight,0,1,1,0,0,0
engineer,0,0,0,0,1,0
'untouchability,0,1,0,0,0,0
equality,0,1,0,0,0,0
society,0,1,0,0,0,0
imprisonment,0,1,0,0,0,0
teacher,0,1,0,0,0,1
bus,0,0,0,0,0,1
loss,0,1,0,0,0,0
is,0,0,0,0,1,1
while,0,1,0,0,0,0
These,0,1,0,1,0,0
crucial,0,0,1,0,0,0
Indian,0,1,1,0,0,0
reference,0,0,0,0,1,0
no,0,0,0,0,0,1
'',0,1,0,0,0,0
strike,0,1,0,0,0,0
non-violence,0,0,0,1,0,0
during,0,0,0,0,0,1
boost,0,0,0,0,1,0
as,0,1,0,1,0,0
from,0,1,1,0,0,0
inspire,0,0,1,0,0,0
Ji,0,0,0,1,0,0
remain,0,0,0,1,0,0
sense,0,0,0,1,0,0
influence,0,0,0,1,0,0
Future,0,0,0,0,1,0
issues,0,1,0,0,0,0
importance,0,1,0,1,0,0
dedicated,0,0,1,1,0,0
this,0,1,0,0,0,0
It,0,0,0,0,1,1
hunger,0,1,0,0,0,0
â€™,0,0,0,0,1,0
motivate,0,0,1,0,0,0
around,0,0,0,1,0,0
uplift,0,1,0,0,0,0
goals,0,0,0,1,0,0
topics,0,0,0,0,1,0
complete,0,0,0,0,0,1
chose,0,1,0,0,0,0
constantly,0,0,0,0,0,1
Gopal,0,1,0,0,0,0
score,0,0,0,0,1,0
leadership,0,1,1,0,0,0
effective,0,0,0,0,1,0
considered,0,1,0,0,0,0
a,0,1,1,1,1,1
Krishna,0,1,0,0,0,0
who,0,0,0,0,1,0
for,0,1,1,1,1,1
him,0,1,0,1,0,0
student,0,0,0,0,0,1
in,0,1,1,1,1,1
against,0,1,0,0,0,0
main,0,1,0,0,0,0
led,0,1,0,0,0,0
person,0,1,0,0,0,0
them,0,0,0,0,1,0
``,0,1,0,0,0,0
great,0,1,0,0,0,0
best,0,0,0,0,1,0
beyond,0,0,0,1,0,0
different,0,0,0,0,1,0
moments,0,0,0,0,0,1
along,0,1,0,0,0,0
all,0,0,0,0,0,1
astronaut,0,0,0,0,1,0
huge,0,1,0,0,0,0
find,0,0,0,0,0,1
always,0,1,0,0,0,0
write,0,0,0,0,1,0
democracy,0,1,0,0,0,0
etc,0,0,0,0,1,0
nation,0,1,0,0,0,0
This,0,0,0,0,1,0
defined,0,1,0,0,0,0
became,0,0,1,0,0,0
achieving,0,0,0,1,0,0
are,0,0,0,0,0,1
an,0,0,1,0,1,0
Similarly,0,0,0,0,0,1
soul,0,1,0,0,0,0
social,0,1,0,0,0,0
motherland,0,1,0,0,0,0
us,0,0,0,0,0,1
influenced,0,1,0,0,0,0
he,0,1,1,1,0,0
get,0,0,0,0,1,0
We,0,0,0,0,1,1
very,0,0,0,0,0,1
cleanliness,0,1,0,0,0,0
Gandhi,0,1,1,1,0,0
sample,0,0,0,0,1,0
to,0,1,1,1,1,1
evil,0,1,0,0,0,0
's,0,1,1,0,0,0
late,0,0,0,0,0,1
Even,0,1,1,0,0,0
world,0,0,0,1,0,0
our,0,0,0,0,1,1
realization,0,0,0,1,0,0
established,0,0,0,1,0,0
including,0,1,0,0,0,0
notebook,0,0,0,0,0,1
Quit,0,1,0,0,0,0
successful,0,1,0,0,0,0
s,0,0,0,0,1,0
will,0,0,0,0,1,0
their,0,0,0,0,1,0
not,0,0,0,1,0,1
know,0,0,0,0,1,0
several,0,1,0,0,0,0
country,0,0,1,0,0,0
made,0,1,0,0,0,0
oppressed,0,1,0,0,0,0
serving,0,0,1,0,0,0
lead,0,0,0,1,0,0
community,0,1,0,0,0,0
His,0,1,1,1,0,0
ancient,0,1,0,0,0,0
really,0,0,0,0,1,0
plans,0,0,0,0,1,0
self-discipline,0,0,0,1,0,0
revered,0,0,0,1,0,0
extends,0,0,0,1,0,0
list,0,0,0,0,1,0
significantly,0,1,0,0,0,0
far,0,0,0,1,0,0
rigorous,0,0,0,1,0,0
its,0,0,1,0,0,0
English,0,0,0,0,1,0
mothers,0,0,0,0,0,1
qualities,0,1,0,1,0,0
respected,0,0,0,1,0,0
Gandhiji,0,1,0,0,0,0
went,0,1,0,0,0,0
there,0,0,0,0,0,1
ideology,0,1,0,0,0,0
followers,0,1,0,0,0,0
emphasized,0,1,0,1,0,0
Movement,0,1,0,0,0,0
demonstrated,0,0,0,1,0,0
the,0,1,0,1,1,1
continue,0,0,0,1,0,0
worldwide,0,0,1,0,0,0
CBSE,0,0,0,0,1,0
role,0,0,1,0,0,0
Everyone,0,0,0,0,1,0
pretend,0,0,0,0,0,1
In,0,0,0,0,1,1
like,0,0,0,0,1,0
They,0,0,0,0,1,0
efforts,0,1,0,0,0,0
that,0,0,0,1,1,0
prison,0,1,0,0,0,0
approach,0,1,0,0,0,0
young,0,0,1,0,0,0
childhood,0,0,0,0,1,0
leaving,0,1,0,0,0,0
dreams,0,0,0,0,1,0
future,0,0,0,0,1,0
times,0,1,0,0,0,0
what,0,0,0,0,1,0
movements,0,1,0,0,0,0
also,0,1,0,1,1,0
prominent,0,1,0,0,0,0
He,0,1,0,1,0,0
with,0,1,1,0,0,0
mantra,0,0,0,0,0,1
exciting,0,0,0,0,0,1
then,0,0,0,0,0,1
but,0,1,0,1,0,0
lifetime,0,0,0,1,0,0
just,0,0,0,0,1,0
sometimes,0,0,0,0,0,1
education,0,1,0,0,0,0
nationalist,0,1,0,0,0,0
discipline,0,0,0,1,0,0
played,0,0,1,0,0,0
contributions,0,1,0,0,0,0
on,0,1,0,0,1,0
exams,0,0,0,0,1,0
known,0,0,0,1,0,0
remind,0,0,0,0,0,1
when,0,1,0,0,0,1
has,0,0,0,0,1,0
promoting,0,0,0,1,0,0
rushing,0,0,0,0,0,1
help,0,0,0,0,1,0
violence,0,1,0,0,0,0
which,0,1,0,0,0,0
Essays,0,0,0,0,1,0
stop,0,0,0,0,0,1
health,0,1,0,0,0,0
principle,0,0,0,1,0,0
transformation,0,1,0,0,0,0
rule,0,0,1,0,0,0
other,0,0,0,0,0,1
essay,0,0,0,0,1,0
Jail,0,1,0,0,0,0
own,0,0,0,1,0,0
Through,0,0,0,1,0,0
death,0,1,0,0,0,0
political,0,1,0,0,0,0
various,0,1,0,0,1,0
whose,0,0,0,1,0,0
British,0,0,1,0,0,0
plan,0,0,0,0,1,0
less,0,0,0,0,0,1
India,0,1,1,1,0,0
many,0,1,0,0,0,0
writing,0,0,0,0,1,0
path,0,1,0,0,0,0
Below,0,0,0,0,1,0
justified,0,1,0,0,0,0
any,0,0,0,1,0,0
freedom,0,1,1,0,0,0
continues,0,0,1,0,0,0
applied,0,0,0,1,0,0
be,0,0,0,0,1,1
doctor,0,0,0,0,1,0
use,0,0,0,0,1,0
can,0,0,0,1,1,0
Ahimsa,0,0,0,1,0,0
philosophy,0,0,0,1,0,0
symbol,0,0,1,0,0,0
faced,0,1,0,0,0,0
provided,0,0,0,1,0,0
students,0,0,0,0,1,0
Yerwada,0,1,0,0,0,0
forget,0,0,0,0,0,1
it,0,0,0,0,0,1
committed,0,0,0,1,0,0
than,0,0,0,0,0,1
hurry,0,0,0,0,0,1
asks,0,0,0,0,0,1
his,0,1,1,1,0,0
objective,0,0,0,1,0,0
